Запрос,Уточнение запроса,Тип,Вопрос,Ответ
Диагностика и настройка оборудования/подключения,Нет,Интернет,Как настроить услугу Фильтрация трафика?,"Для настройки сервиса необходимо внести конфигурации в браузере о наличии прокси-сервера proxy.ip.ncnet.ru, порт доступа — 8080, протокол — http"
Диагностика и настройка оборудования/подключения,Нет,Интернет,Как узнать пароль от Wi-Fi сети при наличии уже подключенного к сети ПК?,С информацией о подключении и настройках оборудования к сети можно ознакомиться на сайте https://moscow.rt.ru/homeinternet/equipment
Диагностика и настройка оборудования/подключения,Нет,Интернет,Какие модели роутеров можно использовать с OnLime?,"Компания НКС рекомендует использовать брендированные роутеры, так как оборудование прошло специальную проверку и адаптировано к сети оператора. Оборудование можно взять в аренду."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Может ли сотрудник Технической поддержки помочь мне настроить программу/почту/роутер/второй компьютер?,"Для решения данных вопросов можно отставить заявку на услугу «Компьютерная помощь», технический партнеркомпании проведет все необходимые работы https://www.onlime.ru/internet/services/9/

Настройка каналов при подключении услуг ЦТВ мастером не производится.

Настройка собственного wifi-роутера абонента мастером не производится.

Для решения данных вопросов можно отставить заявку на услугу, технический партнер компании проведет все необходимые работы. https://www.onlime.ru/internet/services/9/"
Диагностика и настройка оборудования/подключения,Нет,Интернет,"Мой брандмауэр показывает сканирование портов, что мне делать?","Необходимо прислать лог – файлы (дата и время запроса, IP – адрес посетителя) на onlime@rt.ru. Компания ОнЛайм определит абонента сети и примет меры."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Почему отображается скорость 100 Mbit/s(Мбит/с)?,"100 мбит/с - пропускная способность соединения между оборудованием провайдера по технологии «оптика до здания» и Вашим ПК. Скорость передачи данных зависит от ряда факторов, в том числе и от выбранного тарифа.
"
Диагностика и настройка оборудования/подключения,Нет,Интернет,Существуют ли какие-либо ограничения на входящий и исходящий трафик абонента?,"На данный момент нет никаких ограничений на исходящий трафик абонента.
"
Диагностика и настройка оборудования/подключения,Нет,Интернет,"У меня безлимитный тариф со скоростью 10240 Кбит/сек, однако при загрузке файлов отображается другая скорость — 1280 Кбайт/сек. С чем это связано?","В одном случае указана скорость интернет-соединения (в килобитах), а в другом — скорость скачивания (в килобайтах). Отношение байта к биту — 1:8. Таким образом, скачивание происходит на скорости 10240 Кбит/сек, только отображается она не в Кбит/сек, а в Кбайт/сек."
Диагностика и настройка оборудования/подключения,Нет,Интернет,У меня заблокированы некоторые порты! Почему?,"Оператор для целей предотвращения несанкционированного доступа к оборудованию абонентов блокирует во входящем абонентском трафике следующие порты:

TCP/25 – предотвращение спам-активности;

TCP/135-139, TCP/445 и UDP/135-139 – Обеспечение безопасности систем, работающих под ОС MS Windows;

TCP/23, TCP/161, UDP/69 и UDP/161– Защита клиентского оборудования;

TCP/UDP: 5555, 7547, 30005, 8999, 6264, 3000, 58000, 8099, 30006, 8001 – Обеспечение безопасности систем."
Диагностика и настройка оборудования/подключения,Нет,Интернет,У меня медленно скачиваются файлы с определенного сайта?,"Такие сложности обычно возникают с популярными бесплатными ресурсами интернета, которые просто не справляются с нагрузкой. Если у вас низкая скорость скачивания файлов с одного сайта, в то время как скорость скачивания с других сайтов высокая и стабильная, значит, вы обратились именно к такому загруженному серверу, и повлиять на ситуацию могут только владельцы этого ресурса."
Диагностика и настройка оборудования/подключения,Нет,Интернет,У меня не загружаются некоторые сайты.,"Необходимо различать: информация с сайта скачивается медленно или сайт не загружается. Информация может скачиваться медленно с популярных бесплатных сайтов из-за высокой нагрузки на сервер данного сайта. Эту проблему может устранить только владелец ресурса.

Вторая причина на Вашем ПК установлено приложение, направленное на фильтрацию трафика. (антивирус, Firewall). Необходимо изменить настройки данного приложения или отключить его."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Что будет со скоростью при подключении второго компьютера?,Скорость соединения будет делиться между компьютерами пропорционально загрузке и очередности обращений во внешнюю сеть.
Диагностика и настройка оборудования/подключения,Нет,Интернет,Что влияет на скорость интернета? Как измерить скорость интернет соединения?,"На качество измерения скорости влияет ряд факторов:

Скорость сервера
Скорость и настройки роутера, если ваш компьютер подключен к локальной сети через него
Работающие программы на компьютере в момент проверки
Антивирусы и брандмауэры, работающие в фоновом режиме
Настройки компьютера и операционной системы
Перед измерением скорости необходимо отключить все программы и пройти по ссылке: http://speedtest.onlime.ru"
Диагностика и настройка оборудования/подключения,Нет,Интернет,"Что делать, если интернет не работает?","Первым делом надо проверить, подключен ли кабель к сетевому устройству (роутер или сетевая плата), а также проверить настройки соединения. Если все в порядке, то можно перезагрузить роутер. Стоит проверить и состояние вашего счета, вполне возможно, что на счету кончились средства. Если ничего не помогло, пожалуйста, обратитесь в техническую поддержку по телефону 8 800 707 12 12"
Диагностика и настройка оборудования/подключения,Нет,Интернет,"Что делать, если присваивается IP-адрес вида 169.254.х.у?","IP-адрес этого вида присваивается в случае проблемы присвоения сетевых настроек. Прежде всего, попробуйте отключить антивирусные программы, файерволы, брандмауэр, Windows и перезагрузить роутер (если Вы подключаетесь через него). Если проблема сохранилась, попробуйте загрузить Windows в безопасном режиме с поддержкой сетевых драйверов. При перезагрузке необходимо выбрать «безопасный режим с загрузкой сетевых драйверов"", при помощи кнопки F8 на клавиатуре ПК. Если ошибочный адрес сохранился, необходимо обратиться в круглосуточную службу поддержки по телефону 8 800 707 12 12."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Что такое входящий / исходящий трафик?,"Трафик - это объем информации, поступающей на Ваш компьютер из сети и отправленной с него в сеть. Каждый раз, когда Вы просматриваете страницы Интернет, получаете почту, скачиваете файлы, к Вам на компьютер поступает некий объем информации, измеряемый в байтах. Входящий трафик - это объем информации, приходящей на Ваш компьютер из сети, а исходящий, соответственно, объем, уходящий с Вашего компьютера в сеть."
Диагностика и настройка оборудования/подключения,Нет,Интернет,"Я зарегистрировал попытки взлома, что мне делать?","Необходимо прислать лог – файлы (дата и время запроса, IP – адрес посетителя) на onlime@rt.ru. Компания ОнЛайм определит абонента сети НКС и примет меры."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Я переустановил Windows и теперь у меня не работает интернет.,"При переустановке Windows дополнительных настроек не требуется. После переустановки необходимо проверить установку драйверов для сетевой карты, соединение с сетью передачи данных."
Диагностика и настройка оборудования/подключения,Нет,Интернет,Я хочу подключить безлимитный интернет. Какое программное обеспечение должно быть установлено на компьютере?,"Windows `95, `98, ME, NT, 2000, XP, Vista, 7, 8, 10, MAC/OS, *nix"
Оплата услуг,Оплата счета,Интернет,Как оплатить счет Банковской картой,"На сайте Ростелекома (без комиссии) - https://moscow.rt.ru/payment.
В Личном кабинете на сайте (без комиссии) - https://www.onlime.ru/.
Интернет банки(При оплате обращайте внимание на размер комиссии):     
Почта банк - https://my.pochtabank.ru/login?next=%2F,
Сбербанк ОнЛ@йн - https://www.sberbank.ru/ru/person/dist_services, 
Промсвязь банк - https://www.psbank.ru/, 
Московский кредитный банк - https://mkb.ru/about/address/branch, 
МТС-Банк (Интернет банк) - https://www.mtsbank.ru/private/inbanking/, 
Система WM Keeper Mobile - http://www.webmoney.ru/, 
Ситибанк - https://www.citibank.ru/russia/branches/rus/branches.htm, 
Райффайзен банк - https://online.raiffeisen.ru/, 
Единый кошелек - https://www.walletone.com/ru/merchant/, 
Русский Стандарт (система Интернет-банкинг и банкоматы) - https://www.rsb.ru/about/atms/moscow/, 
Интернет-банк «Альфа-Клик» - https://alfabank.ru/everyday/online/alfaclick/"
Оплата услуг,Оплата счета,Интернет,Как оплатить счет Электронными кошельками,"При оплате обращайте внимание на размер комиссии: 
Сбербанк. Мобильные приложения. -  https://www.sberbank.ru/ru/person/dist_services, 
Яндекс.Деньги - https://money.yandex.ru/oplata/onlaiem-internet, 
Кошелек Элекснет - https://1.elecsnet.ru/NotebookFront/services/0mhp/default.aspx?merchantId=23267,     
WebMoney - https://telepay.wmtransfer.com/ru/operator/327, 
RuRu.ru - https://www.ruru.ru/init-payment/39, 
РБК.Money - https://rbk.money/, 
IntellectMoney - https://www.intellectmoney.ru/ru/, 
Веб-кошелёк (ПСКБ) - https://webpay.pscb.ru/login/auth, 
Единый кошелек - https://www.walletone.com/ru/merchant/"
Оплата услуг,Оплата счета,Интернет,Как оплатить счет в терминале,"При оплате обращайте внимание на размер комиссии: 
Терминалы моментальной оплаты Сбербанка России - https://www.sberbank.ru/ru/person, 
«Открытие» ПАО - https://www.open.ru/, 
«Примсоцбанк» ПАО - https://www.pskb.com/, 
«БТА Банк» АО - http://bta.kz/"
Оплата услуг,Оплата счета,Интернет,Как оплатить счет другими способами,"При оплате обращайте внимание на размер комиссии: 
Почта банк - https://www.pochtabank.ru/map, 
Московский Кредитный Банк - https://mkb.ru/about/address/branch, 
Comepay - https://comepay.ru/business#terminals, 
М.Видео - https://www.mvideo.ru/shops/, 
Альт Телеком - http://alttelecom.ru/salones/172?type=1, 
МТС - https://moskva.mts.ru/business/podderzhka/saloni-magazini-mts/, 
Связной - https://www.svyaznoy.ru/shops, 
«Промсвязьбанк» - https://www.psbank.ru/?utm_source=svyazbank2, 
МТС-Банк - https://www.mtsbank.ru/o-banke/ofisi-i-bankomati/, 
Банк Северный морской путь - https://smpbank.ru/ru/contact/"
Оплата услуг,Нет,Интернет,"Если я подключаюсь к услуге или меняю тариф не с начала месяца, будет ли с меня взята абонентская плата в полном объеме?","Нет, так как абонентская плата списывается ежедневно пропорционально количеству дней в текущем календарном месяце.
"
Оплата услуг,Нет,Интернет,Как перенести платеж между лицевыми счетами,"Для переноса денежных средств подготовьте и пришлите нам сканы документов:

Заполненное заявление на перенос (https://moscow.rt.ru/sites/default/files/doc/Zayavlenie_na_perenos_denezhnyh_sredstv_u.pdf);
2, 3, 5 страниц нового паспорта: кому и кем выдан, адрес регистрации;
Сканы документов должны быть надлежащего качества с четким изображением информации.​​

Напишите нам в чате или в разделе ""Обратная связь"" в Личном кабинете или в приложении «Мой Ростелеком», прикрепив сканы или фото документов."
Оплата услуг,Нет,Интернет,Как сделать перерасчет за не предоставленную услугу?,"Для произведения перерасчёта необходимо соответствующее письменное заявление. Заявление пишется в произвольной форме на имя генерального директора Абрамкова Александра Евгеньевича и обязательно должно содержать дни, в течение которых наблюдалась неполадка, лицевой счет, адрес по которому фактически подключена услуга, подпись. Рукописное заявление можно предоставить в офис компании, по факсу, либо отправить отсканированный или сфотографированный вариант на onlime@rt.ru."
Оплата услуг,Нет,Интернет,Можно ли при финансовой блокировке оплатить не всю сумму?,Для активации счета необходимо внести месячную абонентскую плату по всем подключенным услугам и сумму задолженности по счету.
Оплата услуг,Нет,Интернет,Порядок списания средств и финансовая блокировка,"Расчетным периодом оказания услуг принимается календарный месяц. При оказании услуг в течение неполного календарного месяца, их стоимость рассчитывается пропорционально фактически отработанному количеству суток.

Сумма ежедневного списания денежных средств с лицевого счета рассчитывается по формуле:

Sежд = Тп/N, где

Sежд - сумма ежедневного списания, руб.;

Тп - величина суммы абонентских плат (в том числе и платы за оборудование) по всем периодическим услугам, на которые подписан абонент с учетом выбранного тарифного плана

N - количество суток в текущем расчетном периоде предоставления услуг с учетом календарных месяцев;

При наступлении финансовой блокировки для активации услуг Вам необходимо внести полную сумму ежемесячной абонентской платы и погасить задолженность, если таковая имеется"
Оплата услуг,Нет,Интернет,Через какой промежуток времени происходит пополнение счета с момента оплаты?,Пополнение счета происходит в течение часа после поступления денежных средств на счет.
Дополнительная информация,Договоры и соглашения,Интернет,Где посмотреть правовые документы,https://moscow.rt.ru/support/documents#internet
Вход в систему,Регистрация,Видеонаблюдение,"Как зарегистрироваться в системе ""Умного дома""",https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/reg/
Вход в систему,Авторизация,Видеонаблюдение,"Как войти в личный кабинет ""Умного дома""",https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/avt_1/
Домашний экран,,Видеонаблюдение,Что такое домашний экран?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/dashboard/
Домашний экран,,Видеонаблюдение,Как добавить виджет,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/dashboard/
Дом,Дом,Видеонаблюдение,"Как использовать контроллеры, устройства и режимы дома?",https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_dom/
Дом ,Просмотр и редактирование,Видеонаблюдение,Как редактировать карточку дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_dom_2/
Дом ,Просмотр и редактирование,Видеонаблюдение,Как посмотреть карточку дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_dom_2//
Дом ,Режимы дома,Видеонаблюдение,Что такое режимы дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_rejim/
Дом ,Режимы дома,Видеонаблюдение,Какие режимы дома есть?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_rejim/
Дом ,Создание режима,Видеонаблюдение,Как создать режим?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/rejim_3/
Дом ,Переключение режима,Видеонаблюдение,Как переключить режим?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/rejim_1/
Дом ,Просмотр и настройка,Видеонаблюдение,Как настроить режимы?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/rejim_2/
Дом ,Управление комнатами,Видеонаблюдение,Как управлять комнатами?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/ud_dom_1/
Устройства,Мои устройства,Видеонаблюдение,Где можно посмотерть мои устройства?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/new_device/
Устройства,Добавление устройств,Видеонаблюдение,Как добавить устройство?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/new_device_1/
Устройства,Подключение камеры,Видеонаблюдение,Как подключить камеру?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/new_kamera/
Устройства,Подключение контроллера,Видеонаблюдение,Как подключить контроллер?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/new_kontroller/
Устройства,Устройства Z-Wave,Видеонаблюдение,Что такое устройство Z-Wave,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/wave/
Устройства,Подключение устройства Z-Wave,Видеонаблюдение,Как подключить устройство Z-Wave,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/new_z_wave/
Устройства,Карточка устройства,Видеонаблюдение, Где посмотреть всю информацию об устройстве,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/kartochka/
Устройства,Карточка видеокамеры,Видеонаблюдение,Как управлять камерами?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/kamera/
Устройства,Карточка видеокамеры,Видеонаблюдение,Как поменять настройки камеры,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/kamera/
События,События,Видеонаблюдение,Где можно посмотреть кто входил в сеть?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/events/
События,События,Видеонаблюдение,Где можно посмотреть события произошедшие за сутки?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/events//
События,Критичные события,Видеонаблюдение,Как узнать о критичном событии?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/events_2/
Сценарии,Сценарии,Видеонаблюдение,Что такое сценарий?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/scenario/
Сценарии,Создание сценария,Видеонаблюдение,Как создать новый сценарий?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/scenario_1/
Сценарии,Карточка сценария,Видеонаблюдение,Где посмотреть параметры сценария?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/scenario_2/
Пользователи,Пользователи,Видеонаблюдение,Какие типы пользователя существуют?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/users/
Пользователи,Редактирование профиля,Видеонаблюдение,Как поменять пароль в системе умного дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/user_1/
Пользователи,Редактирование профиля,Видеонаблюдение,Как редактировать профиль в системе умного дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/user_1//
Пользователи,Создание и редактирование пользователей,Видеонаблюдение,Как создать пользователя в системе умного дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/user_2/
Пользователи,Создание и редактирование пользователей,Видеонаблюдение,Как релактировать пользователя в системе умного дома?,https://help.smarthome.rt.ru/RUKOVODSTVO_POLSOVATELIA/user_2/
Частые вопросы,Основные вопросы,Видеонаблюдение,Что такое «Умный дом»?,"«Умный дом» — это система управления датчиками и устройствами, которая обеспечивает безопасность и комфорт в доме. Настроенная система самостоятельно распознаёт изменения обстановки в помещении и реагирует на них заданным образом. Главная особенность технологии — это объединение отдельных подсистем и устройств в единый комплекс, которым пользователь может управлять с помощью приложения.
"
Частые вопросы,Основные вопросы,Видеонаблюдение,Существует ли специальное приложение для управления «Умным домом»?,"Да, для наиболее комфортного и оперативного управления всеми системами «Умного дома» вы можете использовать приложение. Скачать его можно в AppStore и Google Play.
"
Частые вопросы,Основные вопросы,Видеонаблюдение,Какие платформы поддерживает мобильное приложение?,"В настоящее время приложение поддерживают только смартфоны платформы IOS и Android (от 5.0 версии). В ближайшее время появится планшетная версия.
"
Частые вопросы,Основные вопросы,Видеонаблюдение,С помощью чего можно управлять «Умным домом»?,"Пользователь может использовать:

Web-версию личного кабинета в браузере,
Мобильное приложение (для смартфонов на базе iOS и Android 5.0 или выше).

Скоро появится:

специальная версия мобильного приложения для планшетов на базе iOS и Android,
приложение для ТВ-приставок Wink."
Частые вопросы,Основные вопросы,Видеонаблюдение,"Что произойдет, если пропадет доступ в Интернет?","Для стабильной работы «Умного дома» требуется подключение к Интернету. Пока подключения нет, вы не можете получать уведомления и управлять устройствами через сайт или мобильное приложение. При этом устройства работают и продолжают выполняться автоматические сценарии, в которых не участвуют видеокамеры. Когда подключение восстанавливается, контроллер и устройства переподключаются автоматически.
"
Частые вопросы,Основные вопросы,Видеонаблюдение,Почему push-уведомления приходят с задержкой?,"За отправку push-уведомлений отвечают сервисы доставки уведомлений от Google и Apple. При доставке push-уведомлений могут происходить задержки до нескольких минут. Если соединение мобильного устройства с сетью Интернет отсутствует длительное время, уведомление не будет доставлено."
Частые вопросы,Основные вопросы,Видеонаблюдение,Насколько безопасна работа датчиков «Умного дома»?,"Чтобы получить контроль над устройством, злоумышленнику нужен физический доступ к нему. Любое устройство передаст вам тревожный сигнал, если кто-то прикоснется к нему, чтобы вскрыть. Датчик движения сможет обнаружить злоумышленника еще раньше. Мы рекомендуем устанавливать датчики в труднодоступных или скрытых от посторонних глаз местах.

Все устройства Z-Wave безопасны для здоровья. Излучение самого обычного мобильного телефона в 4000 раз больше."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Какие существуют тарифы на опцию «Видеонаблюдение»?¶,Какие существуют тарифы на опцию «Видеонаблюдение»?¶
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Как привязать камеру к другому аккаунту?,"Чтобы привязать камеру к другому аккаунту:

Удалите камеру из старого аккаунта.
Нажмите на камере кнопку «Reset», чтобы сбросить настройки.
Добавьте камеру в новый аккаунт, используя QR-код."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Где находится серийный номер у Wi-Fi-камеры?,Серийный номер расположен на задней стороне Wi-Fi-камеры на наклейке над разъёмом для подключения кабеля питания. Он состоит из 9/10/12 цифр без пробелов.
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Сколько стоит Wi-Fi-камера?,С актуальными акциями и модельным рядом камер можно ознакомиться на странице https://moscow.rt.ru/smart_house/tariff#vnc
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Где можно купить камеру?,"Камеры можно приобрести:

1) на сайте https://moscow.rt.ru/smart_house/tariff#vnc;
2) в сетевых магазинах бытовой техники и электроники;
3) в центрах поддержки и обслуживания клиентов «Ростелеком» по всей России и «Онлайм» в Москве.
Обратите внимание, что к сервису можно подключить только камеры, приобретенные в «Ростелеком» или у партнеров."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,"Камера не фиксирует события, что делать?","Перейдите на страницу настроек камеры и убедитесь, что:

1) чувствительность датчика движения установлена на максимальный уровень,
2) расстояние до предполагаемого объекта съёмки меньше 10–15 метров.
Если фиксация событий все равно не работает, напишите нам через через омничат или форму обратной связи на странице «Мой профиль» — мы обязательно поможем."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Что такое клип?,"Клип – это фрагмент видеозаписи из архива, который можно сохранить в облаке отдельно. Сохраненные клипы будут доступны, пока вы их не удалите. Они не исчезнут, когда истечет время хранения архива, обусловленное вашим тарифом.

От тарифа зависит:

1) можно ли сохранить в клип сплошное видео за период или только запись зафиксированных событий,
2) количество доступных клипов,
3) максимальная длина клипа (до 30 минут).
Клипы могут содержать в себе только те видеофрагменты, которые записаны в облако (т.е. за последние 30 минут клип будет сплошным, а за последние 7 дней — в клипе будут только зафиксированные события движения).

Клип можно сохранить на смартфон или компьютер. Чтобы сохранить клип:

1. Нажмите на соответствующую кнопку в левом нижнем углу плеера.
2. Введите временной диапазон.
3. Нажмите кнопку сохранения.
На сайте личного кабинета сохраненные клипы можно найти на странице настроек камеры. Чтобы перейти к клипам, нажмите на шестерёнку в верхнем углу карточки камеры → «Редактировать камеру» и прокрутите страницу вниз до раздела «Управление клипами».

Чтобы посмотреть клипы в мобильном приложении, перейдите в раздел «Клипы» основного меню.

"
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Сколько камер можно добавить?,"К одному личному кабинету «Умного дома» можно привязать неограниченное количество камер. Одна камера может быть одновременно привязана только к одному личному кабинету.

Обратите внимание, что онлайн просмотр видео можно запустить только для одной камеры. Просматривать видео сразу с нескольких камер нельзя."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Как сбросить настройки Wi-Fi-камеры?,"Чтобы сбросить настройки:

1. Отключите камеру от электропитания.
2. Подождите пять секунд.
3. Нажмите кнопку WPS/RESET на обратной стороне камеры и, удерживая её, снова подключите камеру к питанию.
4. Через 10–15 секунд отпустите кнопку WPS/RESET.
5. Подождите две минуты, пока камера загрузится и издаст звуковой сигнал или начнет мигать красным. Если через две минуты ничего не произошло, повторите процедуру сброса еще раз."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Что означают светодиоды камеры?,"На Wi-Fi-камере есть два светодиода: над объективом и в правой верхней части камеры.

Над объективом расположен красный диод ИК-подсветки, который позволяет камере «видеть» ночью. Он включается автоматически, когда в помещении становится темно.

В правой верхней части камеры расположен сигнальный светодиод. По нему можно определить, подключилась ли камера к Wi-Fi-роутеру. Через две минуты (не раньше) после включения камеры светодиод покажет статус подключения:

1) Если диод горит синим, камера успешно подключилась к роутеру. Обратите внимание, что это не означает, что у роутера есть доступ в Интернет.
2) Если диод мигает красным, камера не смогла подключиться.

Проблемы с подключением могут возникнуть из-за того, что:

1) камера находится далеко от Wi-Fi-роутера и не может получить стабильный сигнал,
2) камере через QR-код передали неверные название или пароль от Wi-Fi сети (название Wi-Fi-сети и пароль чувствительны к регистру),
3) камере через QR-код передали название и пароль от Wi-Fi-сети, вещающей на частоте 5GHz, вместо 2.4GHz,
4) алгоритм шифрования Wi-Fi-сети не AES,
5) Wi-Fi-роутер не раздает Wi-Fi (например, он обесточен)."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Можно ли использовать камеру без подключения к «Умному дому»?,Нет. Камера предназначена только для онлайн-работы с облачным сервисом «Ростелеком».
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Можно ли использовать камеру как регистратор? Записать видео на flash-карту и затем воспроизвести на ПК?,"Нет. Все медиафайлы шифруются для вашей безопасности, чтобы даже при краже злоумышленник не мог получить к ним доступ."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,"Можно ли камеру добавить к разным профилям? Например, муж хочет дать доступ к камере жене?","Камера привязывается к одному личному кабинету. Чтобы дать доступ к личному кабинету и всем устройствам еще одному человеку, зайдите в раздел «Мой профиль» и нажмите «Добавить пользователя»."
Частые вопросы,Видеонаблюдение,Видеонаблюдение,Как подключить камеру по Wi-Fi?,"Чтобы подключить камеру по Wi-Fi:

1) Подключите камеру к питанию и подождите. Через две минуты прозвучит звуковой сигнал и светодиод на камере начнет мигать красным.
2) В окне добавления камеры выберите способ подключения по Wi-Fi.
3) Введите название сети и пароль, нажмите «Я готов показать QR-код».
4) Покажите QR-код камере с расстояния 10–30 см и дождитесь, пока она скажет «QR-код распознан». Нажмите кнопку «QR-код распознан».
Камеру можно подключить другим способом — по WPS.

Если камера не подключилась, проверьте:

1) правильно ли введено название и пароль Wi-Fi-сети,
2) сеть работает на частоте 2,4GHz,
3) на роутере указаны типы шифрования (AES, WPA2).
Если все указано правильно, но камера не подключается, сбросьте её настройки и попробуйте подключить заново.

"
